"Time","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","C {instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}"
2025-03-30 15:16:00,0.000,0.000,0.000
2025-03-30 15:16:01,0.000,0.000,0.000
2025-03-30 15:16:02,0.000,0.000,0.000
2025-03-30 15:16:03,0.000,0.000,0.000
2025-03-30 15:16:04,0.000,0.000,0.000
2025-03-30 15:16:05,0.000,0.000,0.000
2025-03-30 15:16:06,0.000,0.000,0.000
2025-03-30 15:16:07,0.000,0.000,0.000
2025-03-30 15:16:08,0.000,0.000,0.000
2025-03-30 15:16:09,0.000,0.000,0.000
2025-03-30 15:16:10,0.000,0.000,0.000
2025-03-30 15:16:11,0.000,0.000,0.000
2025-03-30 15:16:12,0.000,0.000,0.000
2025-03-30 15:16:13,0.000,0.000,0.000
2025-03-30 15:16:14,0.000,0.000,0.000
2025-03-30 15:16:15,0.000,0.000,0.000
2025-03-30 15:16:16,0.000,0.000,0.000
2025-03-30 15:16:17,0.000,0.000,0.000
2025-03-30 15:16:18,0.000,0.000,0.000
2025-03-30 15:16:19,0.000,0.000,0.000
2025-03-30 15:16:20,0.000,0.000,0.000
2025-03-30 15:16:21,0.000,0.000,0.000
2025-03-30 15:16:22,0.000,0.000,0.000
2025-03-30 15:16:23,0.000,0.000,0.000
2025-03-30 15:16:24,0.000,0.000,0.000
2025-03-30 15:16:25,0.000,0.000,0.000
2025-03-30 15:16:26,0.000,0.000,0.000
2025-03-30 15:16:27,0.000,0.000,0.000
2025-03-30 15:16:28,0.000,0.000,0.000
2025-03-30 15:16:29,0.000,0.000,0.000
2025-03-30 15:16:30,0.000,0.000,0.000
2025-03-30 15:16:31,0.000,0.000,0.000
2025-03-30 15:16:32,0.000,0.000,0.000
2025-03-30 15:16:33,0.000,0.000,0.000
2025-03-30 15:16:34,0.000,0.000,0.000
2025-03-30 15:16:35,0.000,0.000,0.000
2025-03-30 15:16:36,0.000,0.000,0.000
2025-03-30 15:16:37,0.000,0.000,0.000
2025-03-30 15:16:38,0.000,0.000,0.000
2025-03-30 15:16:39,0.000,0.000,0.000
2025-03-30 15:16:40,0.000,0.000,0.000
2025-03-30 15:16:41,0.000,0.000,0.000
2025-03-30 15:16:42,0.000,0.000,0.000
2025-03-30 15:16:43,0.000,0.000,0.000
2025-03-30 15:16:44,0.000,0.000,0.000
2025-03-30 15:16:45,0.000,0.000,0.000
2025-03-30 15:16:46,0.000,0.000,0.000
2025-03-30 15:16:47,0.000,0.000,0.000
2025-03-30 15:16:48,0.000,0.000,0.000
2025-03-30 15:16:49,0.000,0.000,0.000
2025-03-30 15:16:50,0.000,0.000,0.000
2025-03-30 15:16:51,0.000,0.000,0.000
2025-03-30 15:16:52,0.000,0.000,0.000
2025-03-30 15:16:53,0.000,0.000,0.000
2025-03-30 15:16:54,0.000,0.000,0.000
2025-03-30 15:16:55,0.000,0.000,0.000
2025-03-30 15:16:56,0.000,0.000,0.000
2025-03-30 15:16:57,0.000,0.000,0.000
2025-03-30 15:16:58,0.158,0.098,1.591
2025-03-30 15:16:59,0.158,0.098,1.591
2025-03-30 15:17:00,0.158,0.098,1.591
2025-03-30 15:17:01,0.158,0.098,1.591
2025-03-30 15:17:02,0.158,0.098,1.591
2025-03-30 15:17:03,0.158,0.098,1.591
2025-03-30 15:17:04,0.158,0.098,1.591
2025-03-30 15:17:05,0.158,0.098,1.591
2025-03-30 15:17:06,0.158,0.098,1.591
2025-03-30 15:17:07,0.158,0.098,1.591
2025-03-30 15:17:08,0.158,0.098,1.591
2025-03-30 15:17:09,0.158,0.098,1.591
2025-03-30 15:17:10,0.158,0.098,1.591
2025-03-30 15:17:11,0.158,0.098,1.591
2025-03-30 15:17:12,0.158,0.098,1.591
2025-03-30 15:17:13,0.709,0.228,3.094
2025-03-30 15:17:14,0.709,0.228,3.094
2025-03-30 15:17:15,0.709,0.228,3.094
2025-03-30 15:17:16,0.709,0.228,3.094
2025-03-30 15:17:17,0.709,0.228,3.094
2025-03-30 15:17:18,0.709,0.228,3.094
2025-03-30 15:17:19,0.709,0.228,3.094
2025-03-30 15:17:20,0.709,0.228,3.094
2025-03-30 15:17:21,0.709,0.228,3.094
2025-03-30 15:17:22,0.709,0.228,3.094
2025-03-30 15:17:23,0.709,0.228,3.094
2025-03-30 15:17:24,0.709,0.228,3.094
2025-03-30 15:17:25,0.709,0.228,3.094
2025-03-30 15:17:26,0.709,0.228,3.094
2025-03-30 15:17:27,0.709,0.228,3.094
2025-03-30 15:17:28,1.674,0.361,4.618
2025-03-30 15:17:29,1.674,0.361,4.618
2025-03-30 15:17:30,1.674,0.361,4.618
2025-03-30 15:17:31,1.674,0.361,4.618
2025-03-30 15:17:32,1.674,0.361,4.618
2025-03-30 15:17:33,1.674,0.361,4.618
2025-03-30 15:17:34,1.674,0.361,4.618
2025-03-30 15:17:35,1.674,0.361,4.618
2025-03-30 15:17:36,1.674,0.361,4.618
2025-03-30 15:17:37,1.674,0.361,4.618
2025-03-30 15:17:38,1.674,0.361,4.618
2025-03-30 15:17:39,1.674,0.361,4.618
2025-03-30 15:17:40,1.674,0.361,4.618
2025-03-30 15:17:41,1.674,0.361,4.618
2025-03-30 15:17:42,1.674,0.361,4.618
2025-03-30 15:17:43,2.989,0.498,5.988
2025-03-30 15:17:44,2.989,0.498,5.988
2025-03-30 15:17:45,2.989,0.498,5.988
2025-03-30 15:17:46,2.989,0.498,5.988
2025-03-30 15:17:47,2.989,0.498,5.988
2025-03-30 15:17:48,2.989,0.498,5.988
2025-03-30 15:17:49,2.989,0.498,5.988
2025-03-30 15:17:50,2.989,0.498,5.988
2025-03-30 15:17:51,2.989,0.498,5.988
2025-03-30 15:17:52,2.989,0.498,5.988
2025-03-30 15:17:53,2.989,0.498,5.988
2025-03-30 15:17:54,2.989,0.498,5.988
2025-03-30 15:17:55,2.989,0.498,5.988
2025-03-30 15:17:56,2.989,0.498,5.988
2025-03-30 15:17:57,2.989,0.498,5.988
2025-03-30 15:17:58,3.095,0.625,4.947
2025-03-30 15:17:59,3.095,0.625,4.947
2025-03-30 15:18:00,3.095,0.625,4.947
2025-03-30 15:18:01,3.095,0.625,4.947
2025-03-30 15:18:02,3.095,0.625,4.947
2025-03-30 15:18:03,3.095,0.625,4.947
2025-03-30 15:18:04,3.095,0.625,4.947
2025-03-30 15:18:05,3.095,0.625,4.947
2025-03-30 15:18:06,3.095,0.625,4.947
2025-03-30 15:18:07,3.095,0.625,4.947
2025-03-30 15:18:08,3.095,0.625,4.947
2025-03-30 15:18:09,3.095,0.625,4.947
2025-03-30 15:18:10,3.095,0.625,4.947
2025-03-30 15:18:11,3.095,0.625,4.947
2025-03-30 15:18:12,3.095,0.625,4.947
2025-03-30 15:18:13,3.095,0.754,4.097
2025-03-30 15:18:14,3.095,0.754,4.097
2025-03-30 15:18:15,3.095,0.754,4.097
2025-03-30 15:18:16,3.095,0.754,4.097
2025-03-30 15:18:17,3.095,0.754,4.097
2025-03-30 15:18:18,3.095,0.754,4.097
2025-03-30 15:18:19,3.095,0.754,4.097
2025-03-30 15:18:20,3.095,0.754,4.097
2025-03-30 15:18:21,3.095,0.754,4.097
2025-03-30 15:18:22,3.095,0.754,4.097
2025-03-30 15:18:23,3.095,0.754,4.097
2025-03-30 15:18:24,3.095,0.754,4.097
2025-03-30 15:18:25,3.095,0.754,4.097
2025-03-30 15:18:26,3.095,0.754,4.097
2025-03-30 15:18:27,3.095,0.754,4.097
2025-03-30 15:18:28,3.095,0.888,3.482
2025-03-30 15:18:29,3.095,0.888,3.482
2025-03-30 15:18:30,3.095,0.888,3.482
2025-03-30 15:18:31,3.095,0.888,3.482
2025-03-30 15:18:32,3.095,0.888,3.482
2025-03-30 15:18:33,3.095,0.888,3.482
2025-03-30 15:18:34,3.095,0.888,3.482
2025-03-30 15:18:35,3.095,0.888,3.482
2025-03-30 15:18:36,3.095,0.888,3.482
2025-03-30 15:18:37,3.095,0.888,3.482
2025-03-30 15:18:38,3.095,0.888,3.482
2025-03-30 15:18:39,3.095,0.888,3.482
2025-03-30 15:18:40,3.095,0.888,3.482
2025-03-30 15:18:41,3.095,0.888,3.482
2025-03-30 15:18:42,3.095,0.888,3.482
2025-03-30 15:18:43,3.095,1.018,3.038
2025-03-30 15:18:44,3.095,1.018,3.038
2025-03-30 15:18:45,3.095,1.018,3.038
2025-03-30 15:18:46,3.095,1.018,3.038
2025-03-30 15:18:47,3.095,1.018,3.038
2025-03-30 15:18:48,3.095,1.018,3.038
2025-03-30 15:18:49,3.095,1.018,3.038
2025-03-30 15:18:50,3.095,1.018,3.038
2025-03-30 15:18:51,3.095,1.018,3.038
2025-03-30 15:18:52,3.095,1.018,3.038
2025-03-30 15:18:53,3.095,1.018,3.038
2025-03-30 15:18:54,3.095,1.018,3.038
2025-03-30 15:18:55,3.095,1.018,3.038
2025-03-30 15:18:56,3.095,1.018,3.038
2025-03-30 15:18:57,3.095,1.018,3.038
2025-03-30 15:18:58,3.095,1.151,2.687
2025-03-30 15:18:59,3.095,1.151,2.687
2025-03-30 15:19:00,3.095,1.151,2.687
2025-03-30 15:19:01,3.095,1.151,2.687
2025-03-30 15:19:02,3.095,1.151,2.687
2025-03-30 15:19:03,3.095,1.151,2.687
2025-03-30 15:19:04,3.095,1.151,2.687
2025-03-30 15:19:05,3.095,1.151,2.687
2025-03-30 15:19:06,3.095,1.151,2.687
2025-03-30 15:19:07,3.095,1.151,2.687
2025-03-30 15:19:08,3.095,1.151,2.687
2025-03-30 15:19:09,3.095,1.151,2.687
2025-03-30 15:19:10,3.095,1.151,2.687
2025-03-30 15:19:11,3.095,1.151,2.687
2025-03-30 15:19:12,3.095,1.151,2.687
2025-03-30 15:19:13,3.095,1.281,2.415
2025-03-30 15:19:14,3.095,1.281,2.415
2025-03-30 15:19:15,3.095,1.281,2.415
2025-03-30 15:19:16,3.095,1.281,2.415
2025-03-30 15:19:17,3.095,1.281,2.415
2025-03-30 15:19:18,3.095,1.281,2.415
2025-03-30 15:19:19,3.095,1.281,2.415
2025-03-30 15:19:20,3.095,1.281,2.415
2025-03-30 15:19:21,3.095,1.281,2.415
2025-03-30 15:19:22,3.095,1.281,2.415
2025-03-30 15:19:23,3.095,1.281,2.415
2025-03-30 15:19:24,3.095,1.281,2.415
2025-03-30 15:19:25,3.095,1.281,2.415
2025-03-30 15:19:26,3.095,1.281,2.415
2025-03-30 15:19:27,3.095,1.281,2.415
2025-03-30 15:19:28,3.095,1.411,2.192
2025-03-30 15:19:29,3.095,1.411,2.192
2025-03-30 15:19:30,3.095,1.411,2.192
2025-03-30 15:19:31,3.095,1.411,2.192
2025-03-30 15:19:32,3.095,1.411,2.192
2025-03-30 15:19:33,3.095,1.411,2.192
2025-03-30 15:19:34,3.095,1.411,2.192
2025-03-30 15:19:35,3.095,1.411,2.192
2025-03-30 15:19:36,3.095,1.411,2.192
2025-03-30 15:19:37,3.095,1.411,2.192
2025-03-30 15:19:38,3.095,1.411,2.192
2025-03-30 15:19:39,3.095,1.411,2.192
2025-03-30 15:19:40,3.095,1.411,2.192
2025-03-30 15:19:41,3.095,1.411,2.192
2025-03-30 15:19:42,3.095,1.411,2.192
2025-03-30 15:19:43,3.095,1.544,2.003
2025-03-30 15:19:44,3.095,1.544,2.003
2025-03-30 15:19:45,3.095,1.544,2.003
2025-03-30 15:19:46,3.095,1.544,2.003
2025-03-30 15:19:47,3.095,1.544,2.003
2025-03-30 15:19:48,3.095,1.544,2.003
2025-03-30 15:19:49,3.095,1.544,2.003
2025-03-30 15:19:50,3.095,1.544,2.003
2025-03-30 15:19:51,3.095,1.544,2.003
2025-03-30 15:19:52,3.095,1.544,2.003
2025-03-30 15:19:53,3.095,1.544,2.003
2025-03-30 15:19:54,3.095,1.544,2.003
2025-03-30 15:19:55,3.095,1.544,2.003
2025-03-30 15:19:56,3.095,1.544,2.003
2025-03-30 15:19:57,3.095,1.544,2.003
2025-03-30 15:19:58,3.095,1.674,1.848
2025-03-30 15:19:59,3.095,1.674,1.848
2025-03-30 15:20:00,3.095,1.674,1.848
2025-03-30 15:20:01,3.095,1.674,1.848
2025-03-30 15:20:02,3.095,1.674,1.848
2025-03-30 15:20:03,3.095,1.674,1.848
2025-03-30 15:20:04,3.095,1.674,1.848
2025-03-30 15:20:05,3.095,1.674,1.848
2025-03-30 15:20:06,3.095,1.674,1.848
2025-03-30 15:20:07,3.095,1.674,1.848
2025-03-30 15:20:08,3.095,1.674,1.848
2025-03-30 15:20:09,3.095,1.674,1.848
2025-03-30 15:20:10,3.095,1.674,1.848
2025-03-30 15:20:11,3.095,1.674,1.848
2025-03-30 15:20:12,3.095,1.674,1.848
2025-03-30 15:20:13,3.095,1.804,1.715
2025-03-30 15:20:14,3.095,1.804,1.715
2025-03-30 15:20:15,3.095,1.804,1.715
2025-03-30 15:20:16,3.095,1.804,1.715
2025-03-30 15:20:17,3.095,1.804,1.715
2025-03-30 15:20:18,3.095,1.804,1.715
2025-03-30 15:20:19,3.095,1.804,1.715
2025-03-30 15:20:20,3.095,1.804,1.715
2025-03-30 15:20:21,3.095,1.804,1.715
2025-03-30 15:20:22,3.095,1.804,1.715
2025-03-30 15:20:23,3.095,1.804,1.715
2025-03-30 15:20:24,3.095,1.804,1.715
2025-03-30 15:20:25,3.095,1.804,1.715
2025-03-30 15:20:26,3.095,1.804,1.715
2025-03-30 15:20:27,3.095,1.804,1.715
2025-03-30 15:20:28,3.095,1.933,1.600
2025-03-30 15:20:29,3.095,1.933,1.600
2025-03-30 15:20:30,3.095,1.933,1.600
2025-03-30 15:20:31,3.095,1.933,1.600
2025-03-30 15:20:32,3.095,1.933,1.600
2025-03-30 15:20:33,3.095,1.933,1.600
2025-03-30 15:20:34,3.095,1.933,1.600
2025-03-30 15:20:35,3.095,1.933,1.600
2025-03-30 15:20:36,3.095,1.933,1.600
2025-03-30 15:20:37,3.095,1.933,1.600
2025-03-30 15:20:38,3.095,1.933,1.600
2025-03-30 15:20:39,3.095,1.933,1.600
2025-03-30 15:20:40,3.095,1.933,1.600
2025-03-30 15:20:41,3.095,1.933,1.600
2025-03-30 15:20:42,3.095,1.933,1.600
2025-03-30 15:20:43,3.095,2.063,1.499
2025-03-30 15:20:44,3.095,2.063,1.499
2025-03-30 15:20:45,3.095,2.063,1.499
2025-03-30 15:20:46,3.095,2.063,1.499
2025-03-30 15:20:47,3.095,2.063,1.499
2025-03-30 15:20:48,3.095,2.063,1.499
2025-03-30 15:20:49,3.095,2.063,1.499
2025-03-30 15:20:50,3.095,2.063,1.499
2025-03-30 15:20:51,3.095,2.063,1.499
2025-03-30 15:20:52,3.095,2.063,1.499
2025-03-30 15:20:53,3.095,2.063,1.499
2025-03-30 15:20:54,3.095,2.063,1.499
2025-03-30 15:20:55,3.095,2.063,1.499
2025-03-30 15:20:56,3.095,2.063,1.499
2025-03-30 15:20:57,3.095,2.063,1.499
2025-03-30 15:20:58,3.095,2.193,1.411
2025-03-30 15:20:59,3.095,2.193,1.411
2025-03-30 15:21:00,3.095,2.193,1.411
2025-03-30 15:21:01,3.095,2.193,1.411
2025-03-30 15:21:02,3.095,2.193,1.411
2025-03-30 15:21:03,3.095,2.193,1.411
2025-03-30 15:21:04,3.095,2.193,1.411
2025-03-30 15:21:05,3.095,2.193,1.411
2025-03-30 15:21:06,3.095,2.193,1.411
2025-03-30 15:21:07,3.095,2.193,1.411
2025-03-30 15:21:08,3.095,2.193,1.411
2025-03-30 15:21:09,3.095,2.193,1.411
2025-03-30 15:21:10,3.095,2.193,1.411
2025-03-30 15:21:11,3.095,2.193,1.411
2025-03-30 15:21:12,3.095,2.193,1.411
2025-03-30 15:21:13,3.095,2.323,1.332
2025-03-30 15:21:14,3.095,2.323,1.332
2025-03-30 15:21:15,3.095,2.323,1.332
2025-03-30 15:21:16,3.095,2.323,1.332
2025-03-30 15:21:17,3.095,2.323,1.332
2025-03-30 15:21:18,3.095,2.323,1.332
2025-03-30 15:21:19,3.095,2.323,1.332
2025-03-30 15:21:20,3.095,2.323,1.332
2025-03-30 15:21:21,3.095,2.323,1.332
2025-03-30 15:21:22,3.095,2.323,1.332
2025-03-30 15:21:23,3.095,2.323,1.332
2025-03-30 15:21:24,3.095,2.323,1.332
2025-03-30 15:21:25,3.095,2.323,1.332
2025-03-30 15:21:26,3.095,2.323,1.332
2025-03-30 15:21:27,3.095,2.323,1.332
2025-03-30 15:21:28,3.095,2.453,1.261
2025-03-30 15:21:29,3.095,2.453,1.261
2025-03-30 15:21:30,3.095,2.453,1.261
2025-03-30 15:21:31,3.095,2.453,1.261
2025-03-30 15:21:32,3.095,2.453,1.261
2025-03-30 15:21:33,3.095,2.453,1.261
2025-03-30 15:21:34,3.095,2.453,1.261
2025-03-30 15:21:35,3.095,2.453,1.261
2025-03-30 15:21:36,3.095,2.453,1.261
2025-03-30 15:21:37,3.095,2.453,1.261
2025-03-30 15:21:38,3.095,2.453,1.261
2025-03-30 15:21:39,3.095,2.453,1.261
2025-03-30 15:21:40,3.095,2.453,1.261
2025-03-30 15:21:41,3.095,2.453,1.261
2025-03-30 15:21:42,3.095,2.453,1.261
2025-03-30 15:21:43,2.937,2.484,1.182
2025-03-30 15:21:44,2.937,2.484,1.182
2025-03-30 15:21:45,2.937,2.484,1.182
2025-03-30 15:21:46,2.937,2.484,1.182
2025-03-30 15:21:47,2.937,2.484,1.182
2025-03-30 15:21:48,2.937,2.484,1.182
2025-03-30 15:21:49,2.937,2.484,1.182
2025-03-30 15:21:50,2.937,2.484,1.182
2025-03-30 15:21:51,2.937,2.484,1.182
2025-03-30 15:21:52,2.937,2.484,1.182
2025-03-30 15:21:53,2.937,2.484,1.182
2025-03-30 15:21:54,2.937,2.484,1.182
2025-03-30 15:21:55,2.937,2.484,1.182
2025-03-30 15:21:56,2.937,2.484,1.182
2025-03-30 15:21:57,2.937,2.484,1.182
2025-03-30 15:21:58,2.386,2.488,0.959
2025-03-30 15:21:59,2.386,2.488,0.959
2025-03-30 15:22:00,2.386,2.488,0.959
2025-03-30 15:22:01,2.386,2.488,0.959
2025-03-30 15:22:02,2.386,2.488,0.959
2025-03-30 15:22:03,2.386,2.488,0.959
2025-03-30 15:22:04,2.386,2.488,0.959
2025-03-30 15:22:05,2.386,2.488,0.959
2025-03-30 15:22:06,2.386,2.488,0.959
2025-03-30 15:22:07,2.386,2.488,0.959
2025-03-30 15:22:08,2.386,2.488,0.959
2025-03-30 15:22:09,2.386,2.488,0.959
2025-03-30 15:22:10,2.386,2.488,0.959
2025-03-30 15:22:11,2.386,2.488,0.959
2025-03-30 15:22:12,2.386,2.488,0.959
2025-03-30 15:22:13,1.421,2.484,0.572
2025-03-30 15:22:14,1.421,2.484,0.572
2025-03-30 15:22:15,1.421,2.484,0.572
2025-03-30 15:22:16,1.421,2.484,0.572
2025-03-30 15:22:17,1.421,2.484,0.572
2025-03-30 15:22:18,1.421,2.484,0.572
2025-03-30 15:22:19,1.421,2.484,0.572
2025-03-30 15:22:20,1.421,2.484,0.572
2025-03-30 15:22:21,1.421,2.484,0.572
2025-03-30 15:22:22,1.421,2.484,0.572
2025-03-30 15:22:23,1.421,2.484,0.572
2025-03-30 15:22:24,1.421,2.484,0.572
2025-03-30 15:22:25,1.421,2.484,0.572
2025-03-30 15:22:26,1.421,2.484,0.572
2025-03-30 15:22:27,1.421,2.484,0.572
2025-03-30 15:22:28,0.105,2.481,0.042
2025-03-30 15:22:29,0.105,2.481,0.042
2025-03-30 15:22:30,0.105,2.481,0.042
2025-03-30 15:22:31,0.105,2.481,0.042
2025-03-30 15:22:32,0.105,2.481,0.042
2025-03-30 15:22:33,0.105,2.481,0.042
2025-03-30 15:22:34,0.105,2.481,0.042
2025-03-30 15:22:35,0.105,2.481,0.042
2025-03-30 15:22:36,0.105,2.481,0.042
2025-03-30 15:22:37,0.105,2.481,0.042
2025-03-30 15:22:38,0.105,2.481,0.042
2025-03-30 15:22:39,0.105,2.481,0.042
2025-03-30 15:22:40,0.105,2.481,0.042
2025-03-30 15:22:41,0.105,2.481,0.042
2025-03-30 15:22:42,0.105,2.481,0.042
2025-03-30 15:22:43,0.000,2.470,0.000
2025-03-30 15:22:44,0.000,2.470,0.000
2025-03-30 15:22:45,0.000,2.470,0.000
2025-03-30 15:22:46,0.000,2.470,0.000
2025-03-30 15:22:47,0.000,2.470,0.000
2025-03-30 15:22:48,0.000,2.470,0.000
2025-03-30 15:22:49,0.000,2.470,0.000
2025-03-30 15:22:50,0.000,2.470,0.000
2025-03-30 15:22:51,0.000,2.470,0.000
2025-03-30 15:22:52,0.000,2.470,0.000
2025-03-30 15:22:53,0.000,2.470,0.000
2025-03-30 15:22:54,0.000,2.470,0.000
2025-03-30 15:22:55,0.000,2.470,0.000
2025-03-30 15:22:56,0.000,2.470,0.000
2025-03-30 15:22:57,0.000,2.470,0.000
2025-03-30 15:22:58,0.000,2.340,0.000
2025-03-30 15:22:59,0.000,2.340,0.000
2025-03-30 15:23:00,0.000,2.340,0.000